delivary_locations,drone_capacity,obstacles,obstacle_free_distance,greedy_distance,christofides_distance,optimized_distance
20,5,13,69.2934101737528,73.17702679980367,71.46203431452544,71.03550896927072
25,5,13,77.52579863318991,83.51615149118298,79.02246766028777,78.99613654520537
30,5,13,89.96152535319516,96.34246767042224,92.68632188455793,92.50891960727562
40,5,13,114.1135018953277,125.43017585300063,121.7287095083076,120.6022200322207
50,5,13,124.60200881939896,136.8877218244558,134.36628275342332,134.24311755996106
20,10,13,59.55065465453551,69.44838548707496,62.93596138287661,61.22460963871971
25,10,13,63.45950474159394,74.11616619514152,67.13863413407711,66.61632476673559
30,10,13,74.64253940955724,82.02393107916069,80.25235560015673,76.65120116549105
40,10,13,85.71647199184389,94.39952895191657,92.27810011406672,92.0945040815824
50,10,13,94.77145736870588,108.9964355232092,99.43964511092416,97.4267575779885
50,2,13,234.5809555745096,248.5146968230006,248.5146968230006,248.3073550523721
50,3,13,172.53719019653508,183.4921448928561,183.7501884598328,183.71129854760704
50,4,13,150.1186147028349,165.6618713114211,161.8461120891723,161.78941030626504
50,6,13,119.01432015043208,128.99711321499754,125.5483770457699,125.48853401410454
50,8,13,107.7530884351634,122.4174041284554,114.06131971851671,114.24629789504512
50,8,13,101.18780117526444,122.33318839051375,113.55813329002976,113.44763370630828
50,8,13,101.18780117526445,122.33318839051377,113.55813329002977,113.44763370630831
