delivary_locations,drone_capacity,obstacles,obstacle_free_distance,distance_after_obstacle_avoidance,distance_after_dp_optimization
20,1,13,171.96659484093078,177.6207378332672,177.20199398303208
25,1,13,198.3257870576712,205.40386722594943,204.6999444287106
30,1,13,248.80054282305835,261.1119695492065,260.2269346368014
40,1,13,325.7866394719772,347.1348729925159,344.9075988858479
50,1,13,399.2579436069976,418.320608471577,417.90592493031926
50,1,13,399.2579436069976,418.320608471577,417.90592493031926
50,1,13,399.2579436069976,418.320608471577,417.90592493031926
50,1,13,399.2579436069976,418.320608471577,417.90592493031926
50,1,13,399.25794360699757,418.320608471577,417.90592493031926
